step,alpha_s,exponent_inel,exponent_el,scale_inel,scale_el,pT 1.0 GeV,pT 2.0 GeV,pT 3.0 GeV,pT 4.0 GeV,pT 5.0 GeV,pT 6.0 GeV,pT 7.0 GeV,pT 8.0 GeV,pT 9.0 GeV,pT 10.0 GeV
50.0,0.271,-1.96,0.8399999999999999,0.18700000000000003,0.3670000000000001,0.8089572026776115,0.8951265675643745,0.3134367323185217,0.20134419096122988,0.15845278271413354,0.13751744860505777,0.12592466105479666,0.11853509326416317,0.11180822622613082,0.10324772034967057
50.0,0.18700000000000003,-0.8399999999999999,0.20000000000000018,0.14500000000000002,0.391,0.8791612870777813,0.9197401589576893,0.5982274480608728,0.5021572539719964,0.45876872694564,0.4359059246926807,0.42288929552148197,0.41467550690880656,0.40698678892355233,0.39619324440250836
50.0,0.23500000000000004,-0.6000000000000001,1.1600000000000001,0.355,0.24700000000000003,0.8426109894107919,0.9228068226892631,0.36512715452716604,0.24852599237299694,0.20274861431792468,0.18015233124826313,0.16756935213297305,0.1595367884139202,0.15223427550679755,0.14293628583091977
50.0,0.29500000000000004,-0.52,0.43999999999999995,0.15700000000000003,0.10900000000000001,0.6671869398178106,0.7429764592814945,0.24120904624147368,0.15115083212912275,0.11819726026230103,0.10268483516502658,0.0943554933526813,0.08911508999038403,0.0842302783815351,0.07786203545944459
50.0,0.30100000000000005,-0.76,1.0,0.31900000000000006,0.199,0.7189688268233713,0.8301286992968723,0.1751319787071414,0.08983926377237704,0.062148856979119683,0.04979981818029819,0.043279237633542175,0.039158263243526566,0.03547605785535823,0.03111701060323111
50.0,0.24100000000000002,0.43999999999999995,0.6800000000000002,0.30700000000000005,0.127,0.7584820110005108,0.8135622204532789,0.40635049863389466,0.3057236413370559,0.2638417055045068,0.24281342627127764,0.23121545631778237,0.22396863747702636,0.2170964772344081,0.20746330944685287
50.0,0.30700000000000005,1.7200000000000002,0.1200000000000001,0.10300000000000001,0.271,0.7314388516979291,0.9051463284896105,0.08236051899421427,0.02800600001656222,0.014971541441003846,0.01010440858859559,0.0077771712191939,0.006363943512108194,0.005206065389639543,0.004072566121245647
50.0,0.139,-0.9199999999999999,1.88,0.139,0.193,0.9268272324798841,0.9505052384270973,0.7537014235554992,0.6860194922321446,0.6536035870615428,0.6360149311884604,0.6258858382272217,0.619536432095255,0.6135539479581585,0.6048133768225217
50.0,0.229,0.8399999999999999,1.7200000000000002,0.271,0.32500000000000007,0.8716978504432478,0.9270392957778673,0.5085221590849158,0.39788656742258355,0.3503256673322771,0.3258077501237557,0.3119119901939019,0.30306012519734776,0.2948944231311439,0.28397923433144034
50.0,0.33100000000000007,-0.6799999999999999,1.2400000000000002,0.16300000000000003,0.20500000000000002,0.6615044549063777,0.7554208418458327,0.18171143299734363,0.09940985835715015,0.07179376139723018,0.05932468725542449,0.05273099497570909,0.04856478209774442,0.04476726286738212,0.04012035539000254
50.0,0.24700000000000003,1.4,1.96,0.15100000000000002,0.30100000000000005,0.8628830234649308,0.9469519543399999,0.36824608484537663,0.24921539869248813,0.20295160513679025,0.18023864979538393,0.16760792459727705,0.15953313314811696,0.1522391992187329,0.14309908355501258
